dataset,origin,target_date,day_offset,X,method,scenario,true_count,wasserstein_hour,wasserstein_duration,wasserstein_energy,crps_total_energy,crps_mean_duration,profile_rmse_kw,profile_nrmse,status,n_pool_sessions,n_pool_occurrences,fit_seconds,sample_seconds
boulder,2021-03-19,2021-03-20,1,,vae_shared,0.0,22,1.5458,0.4954,1.4776,4.620194448922449,0.0938071328615518,7.243488788710911,1.0174808812577878,ok,21379.0,,138.093699395,0.0181589865000006
boulder,2021-03-19,2021-03-20,1,,vae_shared,1.0,22,2.2358,0.5129,2.2521,4.620194448922449,0.0938071328615518,8.5148725752908,1.196070057457284,ok,21379.0,,138.093699395,0.0181589865000006
boulder,2021-03-19,2021-03-20,1,,vae_shared,2.0,22,5.3546,0.6259,1.6467,4.620194448922449,0.0938071328615518,9.972711635221389,1.4008502972972328,ok,21379.0,,138.093699395,0.0181589865000006
boulder,2021-03-19,2021-03-20,1,,vae_shared,3.0,22,4.7137,0.659,0.9776,4.620194448922449,0.0938071328615518,7.275659731100823,1.0219998802883097,ok,21379.0,,138.093699395,0.0181589865000006
boulder,2021-03-19,2021-03-20,1,,vae_shared,4.0,22,1.7811,0.2899,1.2329,4.620194448922449,0.0938071328615518,6.675859584211343,0.9377469464000434,ok,21379.0,,138.093699395,0.0181589865000006
boulder,2021-03-19,2021-03-20,1,,vae_shared,5.0,22,1.9668,0.4013,2.3661,4.620194448922449,0.0938071328615518,6.984205999947707,0.9810598570661134,ok,21379.0,,138.093699395,0.0181589865000006
boulder,2021-03-19,2021-03-20,1,,vae_shared,6.0,22,2.4892,0.2249,1.2319,4.620194448922449,0.0938071328615518,6.487012886798602,0.911219963379706,ok,21379.0,,138.093699395,0.0181589865000006
boulder,2021-03-19,2021-03-20,1,,vae_shared,7.0,22,2.6411,0.3517,0.9733,4.620194448922449,0.0938071328615518,8.226911023303877,1.1556205748625636,ok,21379.0,,138.093699395,0.0181589865000006
boulder,2021-03-19,2021-03-20,1,,vae_shared,8.0,22,1.5516,0.4906,2.0446,4.620194448922449,0.0938071328615518,5.452499993188539,0.7659036494643177,ok,21379.0,,138.093699395,0.0181589865000006
boulder,2021-03-19,2021-03-20,1,,vae_shared,9.0,22,1.9846,0.4824,1.6438,4.620194448922449,0.0938071328615518,6.617817130112287,0.9295938189403704,ok,21379.0,,138.093699395,0.0181589865000006
boulder,2021-03-19,2021-03-20,1,4.0,persistence,0.0,22,2.2727,0.4618,2.1361,12.229110000000013,0.0959436868686868,4.818045017943942,0.6767828091951432,ok,58.0,4.0,0.0010267440000006,0.0047106269000011
boulder,2021-03-19,2021-03-20,1,4.0,persistence,1.0,22,1.3485,0.5566,4.2729,12.229110000000013,0.0959436868686868,7.320050190689977,1.0282353346749586,ok,58.0,4.0,0.0010267440000006,0.0047106269000011
boulder,2021-03-19,2021-03-20,1,4.0,persistence,2.0,22,0.7045,0.4684,1.6392,12.229110000000013,0.0959436868686868,4.77522913709151,0.6707685332775141,ok,58.0,4.0,0.0010267440000006,0.0047106269000011
