dataset,origin,target_date,day_offset,X,method,scenario,true_count,wasserstein_hour,wasserstein_duration,wasserstein_energy,crps_total_energy,crps_mean_duration,profile_rmse_kw,profile_nrmse,status,n_pool_sessions,n_pool_occurrences,fit_seconds,sample_seconds
office,2021-03-10,2021-03-11,1,,vae_shared,0.0,2,0.1467,2.7573,6.8857,6.012361965274611,0.8623213657120912,1.4914304802166871,1.16196499026783,ok,1370.0,,6.345524584000032,0.007018434599998121
office,2021-03-10,2021-03-11,1,,vae_shared,1.0,2,1.4594,8.1737,4.9004,6.012361965274611,0.8623213657120912,1.6777284111755737,1.3071086469149091,ok,1370.0,,6.345524584000032,0.007018434599998121
office,2021-03-10,2021-03-11,1,,vae_shared,2.0,2,0.3034,1.3596,5.1153,6.012361965274611,0.8623213657120912,0.9567555601562422,0.7454028061597084,ok,1370.0,,6.345524584000032,0.007018434599998121
office,2021-03-10,2021-03-11,1,,vae_shared,3.0,2,1.0492,5.5301,10.1591,6.012361965274611,0.8623213657120912,2.224864158836235,1.7333789908154407,ok,1370.0,,6.345524584000032,0.007018434599998121
office,2021-03-10,2021-03-11,1,,vae_shared,4.0,2,1.513,3.9526,6.1276,6.012361965274611,0.8623213657120912,2.381018300659131,1.8550377930796675,ok,1370.0,,6.345524584000032,0.007018434599998121
office,2021-03-10,2021-03-11,1,,vae_shared,5.0,2,0.4861,3.129,13.2864,6.012361965274611,0.8623213657120912,1.581776647425118,1.2323531744263219,ok,1370.0,,6.345524584000032,0.007018434599998121
office,2021-03-10,2021-03-11,1,,vae_shared,6.0,2,2.3773,3.1979,8.0834,6.012361965274611,0.8623213657120912,1.9016152115345815,1.4815375775630568,ok,1370.0,,6.345524584000032,0.007018434599998121
office,2021-03-10,2021-03-11,1,,vae_shared,7.0,2,2.1603,0.8512,6.9894,6.012361965274611,0.8623213657120912,2.000594288852779,1.5586516128052819,ok,1370.0,,6.345524584000032,0.007018434599998121
office,2021-03-10,2021-03-11,1,,vae_shared,8.0,2,2.1182,3.9955,4.3398,6.012361965274611,0.8623213657120912,1.9052749170907808,1.484388833312084,ok,1370.0,,6.345524584000032,0.007018434599998121
office,2021-03-10,2021-03-11,1,,vae_shared,9.0,2,1.5426,1.3715,8.7373,6.012361965274611,0.8623213657120912,1.6500475744470617,1.2855426647209702,ok,1370.0,,6.345524584000032,0.007018434599998121
office,2021-03-10,2021-03-11,1,,vae_shared,10.0,2,0.5167,1.8923,29.3133,6.012361965274611,0.8623213657120912,4.4838716897164135,3.493358888271188,ok,1370.0,,6.345524584000032,0.007018434599998121
office,2021-03-10,2021-03-11,1,,vae_shared,11.0,2,2.4409,3.8287,14.4205,6.012361965274611,0.8623213657120912,3.725999014222117,2.902904604490532,ok,1370.0,,6.345524584000032,0.007018434599998121
office,2021-03-10,2021-03-11,1,,vae_shared,12.0,2,1.2634,1.0038,4.3688,6.012361965274611,0.8623213657120912,2.1114719096004544,1.6450357354458989,ok,1370.0,,6.345524584000032,0.007018434599998121
office,2021-03-10,2021-03-11,1,,vae_shared,13.0,2,1.3424,2.0825,9.7988,6.012361965274611,0.8623213657120912,4.064863791415054,3.1669122218458474,ok,1370.0,,6.345524584000032,0.007018434599998121
office,2021-03-10,2021-03-11,1,,vae_shared,14.0,2,2.1728,4.0257,16.9262,6.012361965274611,0.8623213657120912,2.178965644996755,1.6976197201727685,ok,1370.0,,6.345524584000032,0.007018434599998121
office,2021-03-10,2021-03-11,1,1.0,,,2,,,,,,,,insufficient_volume,,,,
office,2021-03-10,2021-03-11,1,4.0,,,2,,,,,,,,insufficient_volume,,,,
office,2021-03-10,2021-03-11,1,16.0,persistence,0.0,2,2.025,2.2614,5.431,4.045044444444442,1.0644104938271577,1.3371542536251602,1.041769261061641,ok,21.0,16.0,0.0009934760000760434,0.005582630066669481
office,2021-03-10,2021-03-11,1,16.0,persistence,1.0,2,0.9167,3.6708,4.558,4.045044444444442,1.0644104938271577,1.3486306884760135,1.050710486071233,ok,21.0,16.0,0.0009934760000760434,0.005582630066669481
office,2021-03-10,2021-03-11,1,16.0,persistence,2.0,2,2.0583,2.1443,5.2935,4.045044444444442,1.0644104938271577,1.3435779003924995,1.046773887661743,ok,21.0,16.0,0.0009934760000760434,0.005582630066669481
office,2021-03-10,2021-03-11,1,16.0,persistence,3.0,2,1.0667,1.4213,3.402,4.045044444444442,1.0644104938271577,0.8079485697809967,0.6294681277306906,ok,21.0,16.0,0.0009934760000760434,0.005582630066669481
office,2021-03-10,2021-03-11,1,16.0,persistence,4.0,2,6.5083,2.5096,14.9745,4.045044444444442,1.0644104938271577,1.643747305980532,1.2806341614521273,ok,21.0,16.0,0.0009934760000760434,0.005582630066669481
office,2021-03-10,2021-03-11,1,16.0,persistence,5.0,2,1.2167,1.2622,2.6045,4.045044444444442,1.0644104938271577,0.9361720428326569,0.7293663050798173,ok,21.0,16.0,0.0009934760000760434,0.005582630066669481
office,2021-03-10,2021-03-11,1,16.0,persistence,6.0,2,0.65,6.6981,11.8015,4.045044444444442,1.0644104938271577,2.233196973636542,1.739871039353255,ok,21.0,16.0,0.0009934760000760434,0.005582630066669481
office,2021-03-10,2021-03-11,1,16.0,persistence,7.0,2,1.2833,1.4769,10.71,4.045044444444442,1.0644104938271577,1.910292246930567,1.4882978064058958,ok,21.0,16.0,0.0009934760000760434,0.005582630066669481
office,2021-03-10,2021-03-11,1,16.0,persistence,8.0,2,5.3417,3.6147,9.698,4.045044444444442,1.0644104938271577,2.2555620802962366,1.757295566534968,ok,21.0,16.0,0.0009934760000760434,0.005582630066669481
office,2021-03-10,2021-03-11,1,16.0,persistence,9.0,2,2.3,3.7146,0.757,4.045044444444442,1.0644104938271577,1.1767986053783426,0.916837089079053,ok,21.0,16.0,0.0009934760000760434,0.005582630066669481
office,2021-03-10,2021-03-11,1,16.0,persistence,10.0,2,1.4167,0.4913,10.5905,4.045044444444442,1.0644104938271577,2.151923376190403,1.6765512426089817,ok,21.0,16.0,0.0009934760000760434,0.005582630066669481
office,2021-03-10,2021-03-11,1,16.0,persistence,11.0,2,1.6083,1.6117,5.4135,4.045044444444442,1.0644104938271577,0.7806598716485722,0.6082076584829,ok,21.0,16.0,0.0009934760000760434,0.005582630066669481
office,2021-03-10,2021-03-11,1,16.0,persistence,12.0,2,1.4083,2.9746,2.3705,4.045044444444442,1.0644104938271577,0.9881739895773758,0.7698807255269282,ok,21.0,16.0,0.0009934760000760434,0.005582630066669481
office,2021-03-10,2021-03-11,1,16.0,persistence,13.0,2,1.6083,1.6117,5.4135,4.045044444444442,1.0644104938271577,1.13065100640705,0.8808837576292553,ok,21.0,16.0,0.0009934760000760434,0.005582630066669481
office,2021-03-10,2021-03-11,1,16.0,persistence,14.0,2,3.1833,3.084,4.7485,4.045044444444442,1.0644104938271577,1.7761992838683514,1.383826742828776,ok,21.0,16.0,0.0009934760000760434,0.005582630066669481
office,2021-03-10,2021-03-11,1,16.0,vae_percell,0.0,2,1.22,1.3561,5.1095,5.9768286851099734,1.1416192155765512,1.2852716419239403,1.0013478138670533,ok,21.0,16.0,0.32228589500005,0.007452874133332443
